,x,Latitude,Longitude
1,Hartsfield<U+2013>Jackson Atlanta International Airport,33.6407282,-84.4277001
2,Beijing Capital International Airport,40.0798573,116.6031121
3,Los Angeles International Airport,33.9415889,-118.40853
4,Tokyo Haneda Airport,35.5493932,139.7798386
5,Dubai International Airport,25.2531745,55.3656728
6,O'Hare International Airport,41.9741625,-87.9073214
7,London Heathrow Airport,51.4700223,-0.4542955
8,Shanghai Pudong International Airport,31.1443439,121.808273
9,Hong Kong International Airport,22.308047,113.9184808
10,Paris-Charles de Gaulle Airport,49.0096906,2.5479245
11,Dallas/Fort Worth International Airport,32.8998091,-97.0403352
12,Guangzhou Baiyun International Airport,23.3959079,113.3079699
13,Seoul Incheon International Airport,37.4601908,126.4406957
14,Amsterdam Airport Schiphol,52.3105386,4.7682744
15,Frankfurt Airport,50.0379326,8.5621518
16,Singapore Changi Airport,1.3644202,103.9915308
17,Suvarnabhumi Airport,13.6899991,100.7501124
18,Denver International Airport,39.8560963,-104.6737376
19,Indira Gandhi International Airport,28.5561624,77.0999578
20,Soekarno<U+2013>Hatta International Airport,-6.1275282,106.6537058
21,John F. Kennedy International Airport,40.6413111,-73.7781391
22,Kuala Lumpur International Airport,2.7455962,101.7071602
23,Madrid Barajas Airport,40.4983322,-3.5675982
24,San Francisco International Airport,37.6213129,-122.3789554
25,Chengdu Shuangliu International Airport,30.567456,103.9492936
26,Shenzhen Bao'an International Airport,22.636828,113.814606
27,Orlando International Airport,28.4311577,-81.308083
28,McCarran International Airport,36.0839998,-115.1537389
29,Barcelona<U+2013>El Prat Airport,41.297445,2.0832941
30,Toronto Pearson International Airport,43.6777176,-79.6248197
