"","x"
"1","Hartsfield<U+2013>Jackson Atlanta International Airport"
"2","Beijing Capital International Airport"
"3","Los Angeles International Airport"
"4","Tokyo Haneda Airport"
"5","Dubai International Airport"
"6","O'Hare International Airport"
"7","London Heathrow Airport"
"8","Shanghai Pudong International Airport"
"9","Hong Kong International Airport"
"10","Paris-Charles de Gaulle Airport"
"11","Dallas/Fort Worth International Airport"
"12","Guangzhou Baiyun International Airport"
"13","Seoul Incheon International Airport"
"14","Amsterdam Airport Schiphol"
"15","Frankfurt Airport"
"16","Singapore Changi Airport"
"17","Suvarnabhumi Airport"
"18","Denver International Airport"
"19","Indira Gandhi International Airport"
"20","Soekarno<U+2013>Hatta International Airport"
"21","John F. Kennedy International Airport"
"22","Kuala Lumpur International Airport"
"23","Madrid Barajas Airport"
"24","San Francisco International Airport"
"25","Chengdu Shuangliu International Airport"
"26","Shenzhen Bao'an International Airport"
"27","Orlando International Airport"
"28","McCarran International Airport"
"29","Barcelona<U+2013>El Prat Airport"
"30","Toronto Pearson International Airport"
